,,,Size estimated at sprint,,,
Priority,Item,Initial Size Estimated,1,2,3,4
1,Design e creazione architettura di base del sistema,44,,,,
2,Interfaccia menù principale,6,,,,
3,Visualizzazione cellule del livello,13,,,,
4,Gestione movimento cellule del livello,11,,,,
5,Cellule devono reagire a input utente,8,,,,
6,Caricamento definizione livello e cellule da file,8,,,,
7,Gestione collisioni tra cellule,10,,,,
8,Spawn cellule durante movimento,6,,,,
9,Eliminazione cellule quando troppo piccole,2,,,,
10,Gestione fine partita,7,,,,
11,Gestione gravità,16,,,,
12,Design texture livello e cellule,6,,,,
13,Schermata selezione livelli,3,,,,
14,Definizione progressione giocatore tra livelli,2,,,,
15,Modalità Simulazione,2,,,,
16,Implementazione Intelligenza Artificiale,40,,,,
17,Implementazione Multigiocatore,50,,,,
18,Creazione animazioni,4,,,,
19,Gestione effetti sonori,6,,,,
20,Gestione impostazioni di gioco,8,,,,
21,Editor Livelli,12,,,,
22,Statistiche di gioco,6,,,,
