,Sprint Task,Volunteer,Initial Estimate of Effort,Remaining Effort
Gestione gravità,Creazione componenti per gravità,Andrea Placuzzi,1,
,Creazione cellule gravitazionali,Andrea Placuzzi,1,
,Estendere sistema astratto per supporto a due tipi di entità,Andrea Placuzzi,2,
,implementazione sistema gravitazione,Andrea Placuzzi,9,
,Estendere caricamento dati da file con supporto per cellule gravitazionali,Andrea Procucci,2,
,Test,Andrea Placuzzi,1,
Gestione caricamento livelli da file,Creazione delle classi model per il livello,Andrea Procucci,4,
,Creazione utilities per conversione livelli da json e viceversa,Andrea Procucci,6,
,Test,Andrea Procucci,1,
Gestione eliminazione cellule,Creazione sistema per la gestione dell'eliminazione delle cellule,Andrea Procucci,2,
,Test,Andrea Procucci,1,
Gestione collisioni,Creazione sistema gestione collisioni,Davide Giacomini,8,
,Estensione MathUtils,Davide Giacomini,1,
,Test,Davide Giacomini,1,
Gestione movimento cellule,Gestione margini livello (rimbalzo/assorbimento),Giacomo Venturini,5,
,Test margini,Giacomo Venturini,1,
Gestione texture e animazioni,"Creazione/recupero di texture adatte per le cellule (trasparenti, circolari, scalabili)",Marco Galassi,2,
,Creazione/recupero di texture per i livelli (backgroudn + bordo),Marco Galassi,1,
,Studio riguardante le animazioni basilari in ScalaFX/JavaFX,Marco Galassi,2,
,Animazione idle delle cellule,Marco Galassi,2,
,Aggiunta di indicatore per mostrare la velocità e l'accelerazione del giocatore,Marco Galassi,2,
Selezione dei livelli,Caricamento delle info relative ai livelli da mostrare,Marco Galassi + Andrea Procucci,2,
,Dare la possibilità all'utente di poter scegliere di eseguire il livello come simulazione,Marco Galassi,1,
,Design del menu dei livelli,Marco Galassi + Andrea Placuzzi,3,
Gestione fine paritia,Creazione di sistema astratto,Giacomo Venturini,3,
,Implementazione dei casi di vittoria/sconfitta,Giacomo Venturini,3,
,Test,Giacomo Venturini,1,
Configurazione Travis CI,Compilazione automatica dei test,Giacomo Venturini,3,
Gestione telecamera,"Creare supporto per telecamera, inizialmente fissa per le simulazioni",Marco Galassi,2,
,Fare in modo che la telecamera segua sempre la cellula del giocatore,Marco Galassi,1,
Spawn entità all'input dell'utente,"Creazione entità spawner (Componente, Property e modifica InputProperty)",Davide Giacomini,2,
,Creazione sistema gestione spawner,Davide Giacomini,3,
,Modifica sistema input per settaggio parametri di spawner al click,Davide Giacomini,1,
Modalità simulazione,Gestione nuovo parametro in ingresso al GameEngine che definisce la modalità,Davide Giacomini,2,
